[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/js/regular.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/js/solid.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/js/brands.js
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/json/solid.json
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/json/regular.json
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/json/brands.json
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.ttf
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff
